appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
546030,Fatal Gem VR(The First Match-3 VR Game),Edougame,Edougame,,5,8,0,"0 .. 20,000",0,0,0,0,299,299,0,0
456920,Gary the Gull,"Motional Entertainment, Limitless Ltd",Limitless Ltd,,15,19,0,"0 .. 20,000",0,0,0,0,0,0,0,0
535680,Moorhuhn schlägt zurück,Independent Arts Software GmbH,Young Fun Studio by Higgs Games GmbH,,7,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
549190,Fetch,Big Fish Studios,Big Fish Games,,21,1,0,"0 .. 20,000",0,0,0,0,699,699,0,0
563830,Historium VR - Relive the history of Bruges,Sevenedge Interactive Media,Historium Bruges,,21,5,0,"0 .. 20,000",0,0,0,0,799,799,0,0
564420,Santa's Special Delivery,"Drunk Robot Games, Effinvance",Cerulean Games,,11,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
464000,Arcade Saga,2 Bears Studio,Vive Studios,,32,10,0,"0 .. 20,000",0,0,0,0,0,0,0,0
566580,The Jigsaw Puzzle Garden,MobileFusion Apps Ltd,MobileFusion Apps Ltd,,4,2,0,"0 .. 20,000",0,0,0,0,599,599,0,0
541660,Disney Infinity 2.0: Gold Edition,"Avalanche Software, Heavy Iron Studios",Disney,,172,24,0,"0 .. 20,000",357,0,567,0,2999,2999,0,6
391640,Stage Presence,Sea Green Games,tinyBuild,,22,14,0,"0 .. 20,000",0,0,0,0,999,999,0,0
568340,Behind the Memory,GuraShop,GuraShop,,46,34,0,"0 .. 20,000",0,0,0,0,0,0,0,0
466260,inVR,"inVR, Inc.","inVR, Inc.",,7,7,0,"0 .. 20,000",0,0,0,0,0,0,0,0
542110,FriendShip,"Grayson Malinowski, Jesse Homa, Louis Fairgrieve",2Tall Inc.,,5,6,0,"0 .. 20,000",0,0,0,0,499,499,0,0
556090,FIGHTING SPACE,Apology Games,Apology Games,,2,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
559640,Betrayal Collection,Dynamix,Activison,,59,9,0,"0 .. 20,000",0,0,0,0,599,599,0,4
534980,Never Forget Me,Winter Wolves,Winter Wolves,,11,5,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
554280,Time Carnage VR,Wales Interactive,Wales Interactive,,59,16,0,"0 .. 20,000",0,0,0,0,1999,1999,0,2
568670,Heroes of Dark Dungeon,FullmetalDeveloper,FullmetalDeveloper,,8,3,0,"0 .. 20,000",331,0,331,0,299,299,0,0
567260,Super Death Arena,Rigid-Soft,Rigid-Soft,,16,67,0,"0 .. 20,000",50,0,50,0,899,899,0,0
573530,Isolation,Interactive Gaming Studios,Interactive Gaming Studios,,12,18,0,"0 .. 20,000",0,0,0,0,0,0,0,0
575400,Try Hard Parking,gearspecs,gearspecs,,67,12,0,"0 .. 20,000",0,0,0,0,199,199,0,0
552370,Riders of Asgard,Gobbo Games,Gobbo Games,,17,2,0,"0 .. 20,000",0,0,0,0,799,799,0,0
573050,Wojdan - وجدان,نقش الضوء,نقش الضوء,,22,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
364740,Magi,MoaCube,MoaCube,,18,2,0,"0 .. 20,000",0,0,0,0,999,999,0,0
583530,Aquila Bird Flight Simulator,Graeme Scott,Graeme Scott,,23,8,0,"0 .. 20,000",0,0,0,0,499,499,0,0
504650,MasterpieceVR,MasterpieceVR,David Wehle,,112,33,0,"0 .. 20,000",7,0,7,0,0,0,0,0
537380,Abyssal Zone,Led,Led,,2,0,0,"0 .. 20,000",0,0,0,0,699,699,0,0
586430,Spheroids,Eclipse Games,Eclipse Games,,15,3,0,"0 .. 20,000",0,0,0,0,799,799,0,0
575360,Ultimagus,Zealwind,Zealwind,,7,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
584280,Airport Master,STICLI Games,STICLI Games,,12,41,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
582350,Zombie Killin',BagelMaster5000,SamStar Enterprises Inc.,,15,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
