,0
1631,1216740
1632,532110
1633,522470
1634,698300
1635,435120
1636,788380
1637,454250
1638,855640
1639,550590
1640,314020
1641,284770
1642,495110
1643,1051590
1644,440420
1645,458470
1646,1596640
1647,350480
1648,451570
1649,973060
1650,57640
1651,505330
1652,284850
1653,1203400
1654,284750
1655,850450
1656,279800
1657,1442160
1658,406870
1659,1291830
1660,485690
1661,483420
1662,1015930
1663,548370
1664,829660
1665,770100
1666,463160
1667,917840
1668,1139870
1669,1352050
1670,1608200
1671,1663890
1672,1236720
1673,945680
1674,963870
1675,556180
1676,387090
1677,257670
1678,376680
1679,970830
1680,748360
1681,755500
1682,726590
1683,1311330
1684,1109820
1685,854890
1686,347060
1687,880470
1688,819630
1689,545130
1690,310880
1691,487770
1692,612640
1693,329690
1694,1445810
1695,745530
1696,1256950
1697,496790
1698,1554130
1699,971900
1700,1157790
1701,1189520
1702,1475200
1703,260510
1704,1372990
1705,46740
1706,806610
1707,1494680
1708,908230
1709,1219500
1710,1575860
1711,496070
1712,1001390
1713,1323220
1714,1633080
1715,1642190
1716,1544730
1717,1372560
1718,1528820
1719,1461400
1720,1462880
1721,1609720
1722,1651580
1723,405310
1724,249130
1725,313690
1726,829110
1727,249870
1728,213330
1729,1049710
1730,21000
1731,267490
1732,1170760
1733,1480340
1734,1427860
1735,529490
1736,1177400
1737,3710
1738,1043340
1739,519080
1740,707300
1741,446560
1742,744060
1743,205190
1744,1058830
1745,1105510
1746,530320
1747,629650
1748,986800
1749,1122100
1750,1020340
1751,1072640
1752,440310
1753,938220
1754,463150
1755,691160
1756,251630
1757,357720
1758,1098100
1759,398030
1760,1480480
1761,20820
1762,1198400
1763,1263160
1764,1185520
1765,1102780
1766,1285920
1767,1404530
1768,566570
1769,772530
1770,879740
1771,618310
1772,1612030
1773,1105710
1774,908090
1775,1656890
1776,1296550
1777,658980
1778,486860
1779,840720
1780,244770
1781,441790
1782,339230
1783,269310
1784,367600
1785,663300
1786,364300
1787,315840
1788,407560
1789,819500
1790,830580
1791,908740
1792,1103950
1793,805940
1794,1056600
1795,748370
1796,751240
1797,1113030
1798,851930
1799,809580
1800,691260
1801,334040
1802,1060670
1803,822800
1804,282800
1805,663380
1806,979070
1807,1075190
1808,61700
1809,644390
1810,480640
1811,622440
1812,359230
1813,251590
1814,214360
1815,608800
1816,266170
1817,253630
1818,1323900
1819,651500
1820,220740
1821,445020
1822,365190
1823,237470
1824,365890
1825,228960
1826,312420
1827,799350
1828,365560
1829,520610
1830,1287920
1831,379610
1832,1265220
1833,324090
1834,389260
1835,1397470
1836,1497230
1837,370160
1838,845860
1839,336030
1840,909570
1841,704920
1842,346440
1843,863280
1844,423220
1845,1102370
1846,1236670
1847,916730
1848,743130
1849,1357860
1850,828580
1851,415420
1852,1085510
1853,399600
1854,719750
1855,1027130
1856,316600
1857,422110
1858,385330
1859,1142830
1860,742480
1861,345080
1862,773430
1863,1003750
1864,1509040
1865,1369340
1866,352070
1867,1352200
1868,988100
1869,386900
1870,1055850
1871,1684710
1872,1213000
1873,842140
1874,656970
1875,887800
1876,336150
1877,522240
1878,300610
1879,458830
1880,299500
1881,1361260
1882,388390
1883,616240
1884,492160
1885,1179420
1886,1213770
1887,1449650
1888,831250
1889,1578570
1890,1530130
1891,1542850
1892,559300
1893,1349720
1894,1443760
1895,1121230
1896,1636550
1897,1177310
1898,1177390
1899,1391770
1900,867490
1901,1138100
1902,348240
1903,1124830
1904,937580
1905,1005120
1906,924650
1907,994020
1908,941300
1909,992740
1910,836490
1911,961510
1912,1100140
1913,928440
1914,1131900
1915,1124060
1916,925440
1917,1019920
1918,1252320
1919,1043240
1920,1043230
1921,1127540
1922,1022480
1923,937570
1924,1100150
1925,1359520
1926,785750
1927,810780
1928,765030
1929,915130
1930,941410
1931,1100160
1932,880490
1933,1209770
1934,1100180
1935,1176050
1936,806720
1937,1161930
1938,1100170
1939,1144330
1940,1063190
1941,1639610
1942,1566840
1943,786510
1944,1299420
1945,1270670
1946,992750
1947,1605130
1948,1327020
1949,1094290
1950,1540490
1951,938940
1952,1430420
1953,930840
1954,514540
1955,1294310
1956,877590
1957,1568880
1958,834580
1959,1447870
1960,1388130
1961,24790
1962,24810
1963,47700
1964,648580
1965,1321070
1966,32380
1967,303430
1968,882960
1969,545540
1970,63610
1971,287020
1972,1018850
1973,63660
1974,408120
1975,364810
1976,501990
1977,224900
1978,395860
1979,643620
1980,1508270
1981,1191940
1982,925930
1983,1061010
1984,292390
1985,369830
1986,1015020
1987,302350
1988,496760
1989,1477920
1990,1397350
1991,1056510
1992,501970
1993,613240
1994,1358540
1995,1578060
1996,1145830
1997,1593570
1998,1649440
1999,1543020
2000,525920
2001,408760
2002,704230
2003,322850
2004,255260
2005,1237070
2006,1101960
2007,1534040
2008,860620
2009,846050
2010,2920
2011,1550230
2012,557850
2013,329670
2014,517500
2015,848080
2016,707770
2017,329660
2018,628450
2019,1557420
2020,1103310
2021,1068910
2022,1493950
2023,765140
2024,1568430
2025,1568450
2026,1444370
2027,1689530
2028,1580250
2029,1682870
2030,1436450
2031,931500
2032,1163600
2033,618050
2034,1649430
2035,555630
2036,1395850
2037,409000
2038,1441840
2039,1516080
2040,749850
2041,1572340
2042,1373260
2043,432240
2044,836760
2045,303690
2046,378790
2047,1348180
2048,375810
2049,718180
2050,754340
2051,1229260
2052,751470
2053,271990
2054,1590640
2055,1387580
2056,431840
2057,1047860
2058,764500
2059,1215280
2060,283040
2061,1170400
2062,709710
2063,1695670
2064,1294650
2065,1124600
2066,486550
2067,801290
2068,618750
2069,969340
2070,1465500
2071,701610
2072,1170190
2073,618920
2074,645920
2075,781680
2076,498830
2077,590820
2078,345660
2079,626610
2080,1161490
2081,655500
2082,1082180
2083,1447000
2084,984780
2085,355130
2086,711750
2087,561610
2088,775900
2089,882020
2090,1018160
2091,798290
2092,1089830
2093,693960
2094,1259800
2095,1511630
2096,444000
2097,1304340
2098,750070
2099,488690
2100,456780
2101,226780
2102,565390
2103,1389610
2104,355820
2105,956240
2106,504810
2107,1271080
2108,505120
2109,346500
2110,6270
2111,1508200
2112,713610
2113,1380060
2114,1639120
2115,1474990
2116,1220080
2117,1487730
2118,1471680
2119,933840
2120,1450720
2121,1127930
2122,1359720
2123,1092580
2124,1079420
2125,1536590
2126,1592810
2127,1373280
2128,1542100
2129,1280590
2130,1168970
2131,1370430
2132,621930
2133,504130
2134,783840
2135,562230
2136,1590730
2137,870290
2138,1071130
2139,503400
2140,1060600
2141,952290
2142,630870
2143,777200
2144,646600
2145,813540
2146,742520
2147,658690
2148,1479830
2149,598430
2150,1241040
2151,425820
2152,1330960
2153,1418180
2154,1360290
2155,975230
2156,350620
2157,1345370
2158,1436810
2159,1557510
2160,1441790
2161,932210
2162,635900
2163,1147110
2164,1322650
2165,751640
2166,1624830
2167,1403190
2168,1117480
2169,202730
2170,602120
2171,806490
2172,995270
2173,805520
2174,1527880
2175,1575300
2176,446780
2177,863150
2178,1231670
2179,1268370
2180,1472600
2181,1511850
2182,601640
2183,535460
2184,1351290
2185,1468240
2186,1367270
2187,495280
2188,409870
2189,650440
2190,995980
2191,355420
2192,349730
2193,260130
2194,415480
2195,611660
2196,527100
2197,916840
2198,484900
2199,1119700
2200,739650
2201,898720
2202,1055090
2203,1538570
2204,680360
2205,454060
2206,1079510
2207,1262460
2208,1281390
2209,425720
2210,935560
2211,1036660
2212,1251410
2213,1006920
2214,1257700
2215,1200300
2216,1700330
2217,1256870
2218,292060
2219,1142410
2220,1159430
2221,912790
2222,1491680
2223,336240
2224,1518770
2225,599610
2226,759940
2227,1094320
2228,892420
2229,1161870
2230,1249060
2231,1416240
2232,1430030
2233,1074170
2234,986280
2235,1521190
2236,923840
2237,909380
2238,1120370
2239,1559300
2240,1428820
2241,1286330
2242,1300160
2243,1294060
2244,1494190
2245,1283210
2246,586660
2247,1649830
2248,1472160
2249,644080
2250,1368780
2251,342890
2252,406310
2253,1494860
2254,1401220
2255,1339410
2256,1465190
2257,1386710
2258,1281610
2259,1422940
2260,1480440
2261,849740
2262,1212830
2263,1101450
2264,334420
2265,303800
2266,204060
2267,22000
2268,285800
2269,235620
2270,236730
2271,290890
2272,621810
2273,78000
2274,595930
2275,738650
2276,91200
2277,1162070
2278,656590
2279,391490
2280,272040
2281,12500
2282,252130
2283,333880
2284,26900
2285,227580
2286,214550
2287,259600
2288,943410
2289,726200
2290,248650
2291,360380
2292,815780
2293,392070
2294,853200
2295,588750
2296,966720
2297,552370
2298,1639730
2299,1623300
2300,1080630
2301,574720
2302,1076750
2303,919260
2304,241240
2305,477900
2306,1401340
2307,824450
2308,1281630
2309,1435670
2310,1375870
2311,1302750
2312,540180
2313,490930
2314,1379900
2315,990260
2316,25910
2317,311040
2318,319740
2319,1011610
2320,588190
2321,21800
2322,710170
2323,598400
2324,770630
2325,794040
2326,1298040
2327,1250350
2328,1264190
2329,1594910
2330,1081120
2331,1589380
2332,1659170
2333,214510
2334,267530
2335,98400
2336,1267470
2337,473970
