0,1,2,3
USC00300958,18700102,PRCP,0
USC00310288,18700102,PRCP,152
USC00310288,18700102,SNOW,25
USC00361234,18700102,PRCP,356
USC00361920,18700102,PRCP,610
USC00413270,18700102,PRCP,0
USC00440755,18700102,PRCP,102
USC00474966,18700102,PRCP,0
USC00474966,18700102,TMAX,-39
USC00474966,18700102,TMIN,-61
USW00014767,18700102,PRCP,267
USW00014767,18700102,SNOW,0
USW00094728,18700102,TMAX,122
USW00094728,18700102,TMIN,33
USW00094728,18700102,PRCP,300
USW00094728,18700102,SNOW,0
ASN00014016,18700103,PRCP,117
ASN00021014,18700103,DAPR,2
ASN00021014,18700103,DWPR,1
ASN00021014,18700103,MDPR,135
ASN00022801,18700103,PRCP,0
ASN00023000,18700103,PRCP,0
ASN00026005,18700103,PRCP,0
ASN00026020,18700103,PRCP,0
ASN00026026,18700103,PRCP,0
ASN00040214,18700103,PRCP,0
ASN00055020,18700103,PRCP,0
ASN00056207,18700103,PRCP,0
ASN00061055,18700103,PRCP,0
ASN00063004,18700103,PRCP,0
ASN00066007,18700103,PRCP,0
ASN00066062,18700103,TMAX,268
ASN00066062,18700103,TMIN,191
ASN00066062,18700103,PRCP,0
ASN00067015,18700103,PRCP,0
ASN00068066,18700103,PRCP,0
ASN00068140,18700103,PRCP,0
ASN00069015,18700103,PRCP,36
ASN00071010,18700103,PRCP,508
ASN00074124,18700103,PRCP,343
ASN00074128,18700103,TMAX,419
ASN00074128,18700103,TMIN,206
ASN00074128,18700103,PRCP,0
ASN00075048,18700103,PRCP,84
ASN00075080,18700103,PRCP,508
ASN00079042,18700103,PRCP,30
ASN00081003,18700103,PRCP,0
ASN00081022,18700103,PRCP,0
ASN00082051,18700103,PRCP,208
ASN00084016,18700103,PRCP,0
ASN00086071,18700103,TMAX,355
ASN00086071,18700103,TMIN,150
ASN00086071,18700103,PRCP,3
ASN00086079,18700103,PRCP,10
ASN00086085,18700103,PRCP,0
ASN00088020,18700103,PRCP,282
ASN00089000,18700103,PRCP,51
ASN00089049,18700103,DAPR,2
ASN00089049,18700103,DWPR,1
ASN00089049,18700103,MDPR,241
ASN00090015,18700103,TMAX,339
ASN00090015,18700103,TMIN,167
AU000005901,18700103,TMAX,43
AU000005901,18700103,TMIN,-6
BE000006447,18700103,TMAX,85
BE000006447,18700103,TMIN,41
CA006101872,18700103,TMAX,28
CA006101872,18700103,TMIN,-89
CA006101872,18700103,PRCP,56
CA006101872,18700103,SNOW,56
CA006106362,18700103,TMAX,28
CA006106362,18700103,TMIN,-106
CA006106362,18700103,PRCP,0
CA006106362,18700103,SNOW,0
CA006110549,18700103,TMAX,22
CA006110549,18700103,TMIN,-56
CA006110549,18700103,PRCP,0
CA006110549,18700103,SNOW,0
CA006122845,18700103,TMAX,-11
CA006122845,18700103,TMIN,-39
CA006122845,18700103,PRCP,25
CA006122845,18700103,SNOW,25
CA006137735,18700103,TMAX,0
CA006137735,18700103,TMIN,-50
CA006137735,18700103,PRCP,411
CA006137735,18700103,SNOW,0
CA006139520,18700103,TMAX,-6
CA006139520,18700103,TMIN,-78
CA006139520,18700103,PRCP,0
CA006139520,18700103,SNOW,0
CA006148100,18700103,TMAX,0
CA006148100,18700103,TMIN,-72
CA006148100,18700103,PRCP,457
CA006148100,18700103,SNOW,457
CA006150689,18700103,TMAX,28
CA006150689,18700103,TMIN,-67
CA006150689,18700103,PRCP,64
CA006150689,18700103,SNOW,64
CA006153192,18700103,TMAX,28
CA006153192,18700103,TMIN,-67
CA006153192,18700103,PRCP,127
CA006153192,18700103,SNOW,127
CA006158350,18700103,TMAX,33
CA006158350,18700103,TMIN,-17
CA006158350,18700103,PRCP,5
CA006158350,18700103,SNOW,5
CA006166416,18700103,TMAX,22
CA006166416,18700103,TMIN,-83
CA006166416,18700103,PRCP,231
CA006166416,18700103,SNOW,74
CA007023240,18700103,PRCP,203
CA007023240,18700103,SNOW,25
CA008205698,18700103,TMAX,100
CA008205698,18700103,TMIN,-11
CA008205698,18700103,PRCP,119
CA008205698,18700103,SNOW,0
CE000043497,18700103,TMAX,289
CE000043497,18700103,TMIN,234
CE000434730,18700103,TMAX,189
CE000434730,18700103,TMIN,125
EI000003969,18700103,TMAX,92
EI000003969,18700103,TMIN,33
EI000003969,18700103,PRCP,3
EIE00101859,18700103,TMAX,72
EIE00101859,18700103,TMIN,28
EIE00101859,18700103,PRCP,94
